Name,Rating,Pace,Shooting,Passing,Dribbling,Defense,Physical,Vision,Reflex,Composure,Jumping,Foot,Age
Kylian Mbappé,91,97,90,80,92,36,78,83,93,88,88,Right,25
Rodri,91,66,80,86,84,87,85,84,93,94,83,Right,28
Erling Haaland,91,88,92,70,81,45,88,74,94,87,92,Left,24
Jude Bellingham,90,80,87,83,88,78,83,90,91,87,84,Right,21
Vini Jr.,90,95,84,81,91,29,69,85,86,83,74,Right,24
Kevin De Bruyne,90,67,87,94,87,65,78,95,92,88,71,Right,33
Harry Kane,90,65,93,84,83,49,82,86,94,92,87,Right,31
Martin Ødegaard,89,70,82,89,89,67,66,91,91,87,66,Left,25
Gianluigi Donnarumma,89,90,84,73,90,52,87,60,84,65,73,Right,25
Alisson,89,86,85,85,89,56,90,66,87,66,82,Right,31
Thibaut Courtois,89,85,89,76,90,46,88,44,88,66,68,Left,32
Lautaro Martínez,89,82,88,75,87,54,85,79,92,88,93,Right,27
Virgil van Dijk,89,78,60,71,71,89,86,67,88,90,89,Right,33
Marc-André ter Stegen,89,86,85,89,91,47,86,70,85,70,72,Right,32
Mohamed Salah,89,89,87,82,88,45,75,85,93,88,79,Left,32
Phil Foden,88,86,86,85,90,57,63,86,85,86,66,Left,24
Lionel Messi,88,79,85,87,92,33,64,90,85,94,71,Left,37
Antoine Griezmann,88,80,88,87,89,59,75,88,90,89,85,Left,33
Rúben Dias,88,67,39,70,69,89,87,64,89,86,88,Right,27
Robert Lewandowski,88,75,88,79,86,44,84,81,89,87,92,Right,36
Federico Valverde,88,88,82,84,84,80,84,86,89,84,83,Right,26
Ederson,88,87,82,91,87,64,86,70,88,70,79,Left,31
Bernardo Silva,88,75,78,86,92,71,69,87,89,89,68,Left,30
Jan Oblak,88,85,90,78,87,46,86,67,85,68,72,Right,31
Antonio Rüdiger,88,82,55,73,70,86,86,61,86,80,89,Right,31
Florian Wirtz,88,81,78,87,89,50,67,91,88,85,64,Right,21
Gregor Kobel,88,87,86,73,89,44,87,59,86,66,71,Right,26
William Saliba,87,82,39,70,74,87,83,62,86,85,89,Right,23
Victor Osimhen,87,89,84,65,81,42,82,70,89,80,94,Right,25
Jamal Musiala,87,84,81,78,90,63,64,84,87,83,69,Right,21
Bukayo Saka,87,85,83,81,88,60,70,86,85,82,71,Left,23
Paulo Dybala,87,80,85,84,89,41,65,88,84,87,77,Left,30
Theo Hernández,87,95,76,78,84,81,89,75,85,80,95,Left,26
Neymar Jr,87,85,79,84,92,37,60,85,78,92,72,Right,32
Declan Rice,87,73,72,82,79,84,85,79,85,86,82,Right,25
Frenkie de Jong,87,82,69,86,87,77,78,88,88,90,82,Right,27
Mike Maignan,87,84,83,85,88,64,84,65,85,68,82,Right,29
Bruno Fernandes,87,70,85,88,83,65,75,94,90,79,70,Right,30
Heung Min Son,87,87,89,81,85,42,73,82,90,88,82,Right,32
Marquinhos,87,79,56,75,74,89,81,76,86,86,89,Right,30
Alessandro Bastoni,87,75,43,75,76,87,83,72,87,85,89,Left,25
İlkay Gündoğan,87,62,83,85,87,74,73,86,86,87,67,Right,33
Emiliano Martínez,87,84,82,83,86,56,87,67,84,69,79,Right,32
Nicolò Barella,87,81,78,83,86,80,82,84,90,86,79,Right,27
Yann Sommer,87,83,84,85,89,50,86,64,84,54,68,Right,35
Cristiano Ronaldo,86,77,88,77,80,34,77,78,87,92,94,Right,39
Gabriel,86,69,41,63,61,86,82,59,85,74,86,Left,26
Granit Xhaka,86,50,75,85,74,79,82,84,86,81,70,Left,31
Rodrygo,86,89,81,79,88,31,64,83,84,85,77,Right,23
João Cancelo,86,81,73,85,85,80,72,85,84,85,80,Right,30
Rafael Leão,86,94,79,80,87,28,77,84,84,83,90,Right,25
Grimaldo,86,74,73,88,85,76,71,85,86,83,73,Left,28
Luka Modrić,86,72,76,88,87,71,64,90,85,91,67,Right,39
Alexis Mac Allister,86,69,82,85,84,76,76,86,85,84,72,Right,25
Carvajal,86,81,58,79,81,81,79,78,85,83,85,Right,32
Ousmane Dembélé,86,92,75,82,88,41,57,85,82,82,65,Left,27
Trent Alexander-Arnold,86,75,72,90,80,80,74,89,85,82,75,Right,25
Pedri,86,77,69,82,88,70,74,88,87,87,73,Right,21
Jonathan Tah,86,71,38,60,62,86,84,56,84,79,86,Right,28
Karim Benzema,86,77,85,81,84,38,77,86,84,84,84,Right,36
Bremer,86,82,50,58,66,86,85,45,79,78,94,Right,27
Joshua Kimmich,86,69,74,88,84,81,77,85,88,86,79,Right,29
Unai Simón,86,85,81,78,86,49,85,48,82,46,74,Right,27
Manuel Neuer,86,83,81,90,83,49,88,70,84,70,77,Right,38
Hakan Çalhanoğlu,86,71,80,87,85,79,76,89,86,85,76,Right,30
David Alaba,85,79,71,83,80,85,77,78,88,84,86,Left,32
Ronald Araujo,85,82,53,64,62,85,84,59,84,76,92,Right,25
Julian Brandt,85,71,79,85,86,50,70,87,86,84,69,Right,28
Éder Militão,85,85,50,69,71,85,82,59,84,76,91,Right,26
Bruno Guimarães,85,68,75,83,84,79,83,85,84,87,77,Right,26
